"tid","Anser.det.som.fornuftigt.at.spare.op.i.den.nuvaerende.oekonomiske.situation","Anskaffelse.af.stoerre.forbrugsgoder..fordelagtigt.for.oejeblikket","Anskaffelse.af.stoerre.forbrugsgoder..inden.for.de.naeste.12.mdr.","Arbejdsloesheden.om.et.aar..sammenlignet.med.i.dag","Danmarks.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Danmarks.oekonomiske.situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske..situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Familiens.oekonomiske.situation.lige.nu..kan.spare.penge.slaar.til..bruger.mere.end.man.tjener","Priser.i.dag..sammenlignet.med.for.et.aar.siden","Priser.om.et.aar..sammenlignet.med.i.dag","Regner.med.at.kunne.spare.op.i.de.kommende.12.maaneder","indikator","forbrug","realvaekst"
"2020K1",57.2666666666667,-7.9,-3.63333333333333,6.56666666666667,6.4,4.06666666666667,-12.5333333333333,6.6,29.0333333333333,-6.1,26.6666666666667,34.5333333333333,11.7472222222222,272.9,-2.57051053195289
"2020K2",59.2,-12.4333333333333,-9.13333333333333,21.1666666666667,-30.9,9.53333333333333,-8.3,4.93333333333333,30.6666666666667,-18.3333333333333,18.7666666666667,33.4666666666667,8.21944444444446,262.5,-3.81091975082447
"2020K3",58.9,-9.4,-6.3,12.3666666666667,-29.3666666666667,2.23333333333333,-11.3666666666667,3.13333333333333,31.0333333333333,-12.9333333333333,19.6333333333333,36.2333333333333,7.84722222222221,274.1,4.41904761904763
"2020K4",58.6666666666667,-6.5,-4.06666666666667,18.8,-29.6333333333333,8.66666666666667,-11.2333333333333,4.03333333333333,32.4333333333333,-13.9,22.4333333333333,38.0666666666667,9.81388888888889,280.3,2.26194819408974
"2021K1",56.8666666666667,-5.23333333333333,-0.6,6.8,-33.4,2.6,-12.3666666666667,4.96666666666667,35.7333333333333,-17.6666666666667,23.9666666666667,42.1,8.64722222222222,270.1,-3.6389582590082
"2021K2",56.1333333333333,-3.23333333333333,2.9,-10.4666666666667,-18.4,-8.76666666666667,-13.3,6.06666666666667,36,-5.06666666666667,29.7,42.3666666666667,9.49444444444444,287.2,6.33098852276932
"2021K3",55.5,-8.63333333333333,0.533333333333333,-15.1,1.63333333333333,-10.6333333333333,-13.6333333333333,8.1,34.4333333333333,5.26666666666667,27.4,42.8333333333333,10.6416666666667,292.6,1.88022284122564
"2021K4",58,-14.3333333333333,-3.4,-7.06666666666667,1.8,-0.933333333333333,-8.43333333333333,1.86666666666667,33.7333333333333,22.4,38.8333333333333,38.6666666666667,13.4277777777778,301,2.87081339712918
"2022K1",60.1,-15,-6.6,-0.933333333333333,-9.9,9.56666666666667,-2.66666666666667,-0.0333333333333334,33.5333333333333,35.1666666666667,41.9666666666667,39.0666666666667,15.3555555555556,280.8,-6.7109634551495
"2022K2",60.5666666666667,-31.3666666666667,-14.7,10.9,-36.3333333333333,22.9666666666667,7.43333333333333,-15.3333333333333,25.3333333333333,56.2666666666667,36.0666666666667,28.4333333333333,12.5194444444445,284.1,1.17521367521367
